,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
114,0.2%,1.2%,16.1%,46.3%,36.2%,克里斯汀·贝尔,459811,['\n        '],"['2014-02-05(中国大陆)', '2013-11-27(美国)']",克里斯·巴克,[' '],冰雪奇缘 Frozen,8.3,珍妮弗·李,102分钟,"['喜剧', '动画', '歌舞', '奇幻']"
115,0.2%,0.6%,9.2%,41.3%,48.8%,约翰·库萨克,485858,['\n        '],['2003-04-25(美国)'],詹姆斯·曼高德,['\n        '],致命ID Identity,8.8,Michael Cooney,90分钟,"['剧情', '悬疑', '惊悚']"
116,0.1%,0.5%,11.2%,42.9%,45.3%,周润发,304118,['\n        '],"['1986-08-02(中国香港)', '2017-11-17(中国大陆)']",吴宇森,['\n        '],英雄本色,8.7,陈庆嘉,95分钟,"['剧情', '动作', '犯罪']"
117,0.3%,0.9%,9.2%,35.7%,53.9%,柳承龙,306436,['\n        '],['2013-01-23(韩国)'],李焕庆,['\n        '],7号房的礼物 7번방의 선물,8.8,李焕庆,127分钟,"['剧情', '喜剧', '家庭']"
118,0.2%,0.8%,9.9%,34.9%,54.2%,佐仓绫音,288928,['\n        '],['2011-09-17(日本)'],大森贵弘,[' '],萤火之森 蛍火の杜へ,8.8,绿川幸,45分钟,"['剧情', '爱情', '动画', '奇幻']"
119,0.1%,0.4%,10.8%,43.6%,45.1%,约翰·古德曼,391017,[' '],"['2001-11-02(美国)', '2012-12-19(美国)']",彼特·道格特,[' / '],"怪兽电力公司 Monsters, Inc.",8.7,安德鲁·斯坦顿,92 分钟,"['喜剧', '动画', '儿童', '奇幻', '冒险']"
120,0.2%,1.0%,12.7%,42.3%,43.8%,凯拉·奈特莉,461723,['\n        '],['2005-09-16(英国)'],乔·赖特,['\n        '],傲慢与偏见 Pride & Prejudice,8.6,简·奥斯汀,129 分钟,"['剧情', '爱情']"
121,0.3%,1.2%,13.8%,45.2%,39.5%,菲恩·怀特海德,489331,['\n        '],"['2017-09-01(中国大陆)', '2017-07-13(伦敦首映)', '2017-07-21(美国)']",克里斯托弗·诺兰,['\n        '],敦刻尔克 Dunkirk,8.4,克里斯托弗·诺兰,107分钟,"['剧情', '历史', '战争']"
122,0.1%,0.5%,9.0%,39.3%,51.0%,夏雨,403269,['\n        '],"['1995-06-28(中国香港)', '1995-08-21(中国大陆)', '1994-09-09(威尼斯电影节)']",姜文,['\n        '],阳光灿烂的日子,8.8,姜文,134分钟(中国大陆),"['剧情', '爱情']"
123,0.6%,1.6%,11.8%,33.0%,53.1%,梁朝伟,409269,['\n        '],['1993-02-05(中国香港)'],刘镇伟,[' '],射雕英雄传之东成西就 射鵰英雄傳之東成西就,8.7,刘镇伟,113分钟(香港),"['喜剧', '奇幻', '武侠', '古装']"
