,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
225,1.7%,8.8%,48.2%,33.2%,8.2%,萨玛拉·维文,22917,['\n        '],['2019-08-21(美国)'],马特·贝蒂内利-奥尔平,['\n        '],准备好了没 Ready or Not,6.7,盖伊·比尤西克,95分钟,"['悬疑', '惊悚', '恐怖']"
226,28.6%,21.4%,23.2%,14.3%,12.5%,彭禺厶,611,['\n        '],['2018-09-05(中国大陆)'],彭禺厶,['\n        '],御龙修仙传,5.2,彭禺厶,85分钟,"['奇幻', '古装']"
227,0.8%,6.1%,39.8%,40.5%,12.9%,雅各布·特伦布莱,11606,['\n        '],['2019-08-16(美国)'],吉恩·斯图普尼兹基,['\n        '],好小子们 Good Boys,7.2,李·艾森伯格,90分钟,"['喜剧', '儿童', '冒险']"
228,2.3%,11.0%,56.5%,22.3%,7.9%,阿米达普·巴强,700,['\n        '],['2019-03-08(印度)'],苏乔伊·高什,['\n        '],复仇 Badla,6.4,奥里奥尔·保罗,120分钟,['惊悚']
229,6.8%,24.9%,46.7%,14.9%,6.7%,上白石萌音,1702,['\n        '],['2019-03-21(日本)'],川村泰祐,['\n        '],邻居同居2 L・DK ひとつ屋根の下、『スキ』がふたつ。,5.8,江头美智留 ,107分钟,['爱情']
230,2.4%,9.7%,42.9%,35.2%,9.8%,吉米·费尔斯,697,['\n        '],"['2019-01-26(圣丹斯电影节)', '2019-06-07(美国)']",乔·塔尔博,['\n        '],旧金山的最后一个黑人 The Last Black Man in San Francisco,6.8,乔·塔尔博,120分钟,['剧情']
231,6.6%,34.0%,46.8%,10.5%,2.2%,周迅,43261,['\n        '],['2019-08-23(中国大陆)'],周可,['\n        '],保持沉默,5.4,周可,96分钟,"['剧情', '悬疑']"
232,1.3%,5.8%,41.6%,40.1%,11.3%,吉娜·马隆,485,['\n        '],['2018-01-31(圣芭芭拉电影节)'],艾米利奥·艾斯特维兹,['\n        '],良知堡垒 The Public,7.1,艾米利奥·艾斯特维兹,119分钟,['剧情']
233,0.7%,3.9%,31.3%,43.9%,20.1%,泽城美雪,1225,['\n        '],['2019-05-31(日本)'],小池健,['\n        '],鲁邦三世·峰不二子的谎言 LUPIN THE IIIRD 峰不二子の嘘,7.6,高桥悠也,58分钟,['动画']
234,0.6%,2.1%,15.1%,45.1%,37.0%,诺米·梅兰特,1275,['\n        '],"['2019-05-19(戛纳电影节)', '2019-09-18(法国)']",瑟琳·席安玛,['\n        '],燃烧女子的肖像 Portrait de la jeune fille en feu,8.3,瑟琳·席安玛,120分钟,"['剧情', '爱情', '历史']"
235,0.5%,1.1%,18.2%,49.0%,31.2%,布鲁诺·萨拉曼,7045,['\n        '],"['2019-08-23(中国大陆)', '2018-06-21(法国)']",海琳·吉罗,['\n        '],昆虫总动员2——来自远方的后援军 Minuscule 2 -  Les mandibules du bout du monde,8.2,海琳·吉罗,91分钟,['动画']
236,0.6%,3.3%,34.3%,48.2%,13.6%,卡洛斯·阿科斯塔,445,['\n        '],"['2018-09-23(圣塞巴斯蒂安电影节)', '2018-12-14(西班牙)']",伊西亚尔·博利亚因,['\n        '],尤利 Yuli,7.4,保罗·拉弗蒂,115分钟,"['剧情', '音乐', '传记']"
237,6.5%,26.8%,39.8%,19.5%,7.3%,Kylr Coffman,293,['\n        '],['2019-06-30(台北电影节)'],王崑琳,['\n        '],世外之子 Obscure,5.9,王崑琳,92分钟,['剧情']
238,11.5%,14.1%,42.3%,20.5%,11.5%,杨璐,339,['\n        '],['2018-10-15(中国大陆)'],殷玉洲,['\n        '],沿海出发,6.1,殷玉洲,115分钟,"['剧情', '家庭']"
239,4.4%,14.7%,49.6%,26.1%,5.1%,迈克尔·比奇,336,['\n        '],['2018-10-12(美国)'],尼克·瑟西,['\n        '],戈斯内尔：美国连环杀手 Gosnell: America's Biggest Serial Killer,6.3,安德鲁·克拉万,93分钟,"['剧情', '犯罪']"
240,3.9%,14.5%,54.5%,20.6%,6.5%,金香起,366,['\n        '],"['2018-10(釜山电影节)', '2018-11-12(韩国)']",车成德,['\n        '],英珠 영주,6.2,车成德,100分钟,['剧情']
241,1.9%,10.8%,54.6%,26.8%,6.0%,黛安·克鲁格,1366,['\n        '],['2019-02-10(柏林电影节)'],尤瓦尔·阿德勒,['\n        '],女特工 The Operative,6.5,尤瓦尔·阿德勒,116分钟,['惊悚']
242,2.0%,11.6%,46.5%,29.3%,10.5%,任达华,23508,['\n        '],"['2019-08-15(中国香港)', '2019-09-20(中国大陆)']",罗永昌,['\n        '],小Q,6.7,陈淑贤,107分钟,['剧情']
243,1.1%,9.2%,55.4%,25.3%,9.0%,安吉拉·贝塞特,668,['\n        '],['2019-08-02(美国)'],辛迪·翠派克,['\n        '],异地母子情 Otherhood,6.6,马克·安德勒斯 ,100分钟,['喜剧']
244,1.2%,4.2%,35.4%,46.7%,12.6%,杰西·艾森伯格,6729,['\n        '],"['2019-03-10(西南偏南电影节)', '2019-07-12(美国)']",莱利·斯特恩斯,['\n        '],自卫的艺术 The Art of Self-Defense,7.3,莱利·斯特恩斯,104分钟,['喜剧']
245,20.4%,22.2%,30.9%,12.3%,14.2%,柯南·何裴,1166,['\n        '],['2019-08-08(中国大陆)'],王冀邢,['\n        '],红星照耀中国,5.6,汤溪,109分钟,"['历史', '战争']"
246,0.7%,5.9%,44.2%,37.7%,11.6%,杰森·苏戴奇斯,24178,['\n        '],"['2019-08-16(中国大陆)', '2019-08-14(美国)']",图鲁普·范·奥尔曼,['\n        '],愤怒的小鸟2 The Angry Birds Movie 2,7.1,彼得·阿克曼,96分钟,"['喜剧', '动画', '冒险']"
247,18.8%,28.9%,37.5%,10.2%,4.6%,Christopher Rygh,367,['\n        '],"['2018-10-06(Sitges Film Festival)', '2019-04-05(美国)']",Jordan Downey,['\n        '],猎头武士 The Head Hunter,5.1,Kevin Stewart,72分钟,"['恐怖', '奇幻']"
248,2.5%,17.5%,46.0%,26.7%,7.4%,阿莉雅·肖卡特,338,['\n        '],"['2018-01-21(圣丹斯电影节)', '2018-08-17(美国)']",伊桑·霍克,['\n        '],留住心醉一首歌 Blaze,6.4,伊桑·霍克,127分钟,"['剧情', '音乐', '传记']"
249,2.9%,17.6%,56.4%,18.7%,4.4%,佐伊·玛格丽特·科莱蒂,9722,['\n        '],['2019-08-09(美国)'],安德烈·艾弗道夫,['\n        '],在黑暗中讲述的恐怖故事 Scary Stories to Tell in the Dark,6.1,约翰·奥古斯特,108分钟,['恐怖']
250,10.4%,32.0%,43.5%,8.9%,5.2%,艾玛·罗伯茨,1274,['\n        '],"['2019-10-13(中国大陆)', '2019-05-03(美国)']",凯利·阿斯博瑞,[' '],丑娃娃 UglyDolls,5.3,大卫·霍瓦特,87分钟,"['喜剧', '动画', '奇幻', '冒险']"
251,1.3%,8.2%,51.9%,30.3%,8.3%,卡西·阿弗莱克,897,['\n        '],"['2019-02-08(柏林电影节)', '2019-08-09(美国)']",卡西·阿弗莱克,['\n        '],我的生命之光 Light of My Life,6.7,卡西·阿弗莱克,119分钟,['剧情']
252,0.4%,6.3%,44.7%,37.5%,11.1%,文森特·拉科斯特,670,['\n        '],['2018-09-12(法国)'],托马斯·利蒂,['\n        '],大学一年级 Première année,7.1,托马斯·利蒂,92分钟,"['剧情', '喜剧']"
253,1.4%,5.6%,42.3%,36.7%,14.0%,杰米·贝尔,1384,['\n        '],"['2018-09-08(多伦多电影节)', '2019-07-26(美国)']",盖·纳蒂弗,['\n        '],皮肤 Skin,7.1,盖·纳蒂弗,110分钟,['剧情']
254,0.3%,1.3%,27.0%,50.3%,21.1%,托马·索利韦尔,716,['\n        '],"['2018-08-22(法国昂古莱姆电影节)', '2019-01-09(法国)']",亚力克西斯·马沙利克,['\n        '],埃德蒙 Edmond,7.8,亚力克西斯·马沙利克,110分钟,"['剧情', '喜剧']"
255,7.7%,31.6%,46.6%,12.1%,2.1%,克莱尔·弗兰妮,381,['\n        '],['2019-02-01(美国)'],维克特·加西亚,['\n        '],致命出轨 An Affair to Die For,5.4,埃利奥特·桑,82分钟,['惊悚']
256,0.6%,7.0%,41.4%,36.9%,14.0%,宝音尼木胡,570,['\n        '],"['2018-12-19(中国大陆)', '2018-10-14(平遥国际电影展)']",杨瑾,['\n        '],片警宝音,7.1,曹寇,97分钟,['剧情']
257,1.4%,10.5%,61.7%,24.1%,2.4%,盖尔·加西亚·贝纳尔,351,['\n        '],"['2018-02-22(柏林电影节)', '2018-08-23(墨西哥)']",阿隆索·帕拉西奥斯,['\n        '],博物馆 Museo,6.3,阿隆索·帕拉西奥斯,128分钟,"['剧情', '犯罪']"
258,6.4%,14.5%,49.1%,21.4%,8.6%,阿克谢·库玛尔,820,['\n        '],['2019-03-21(印度)'],安劳格·辛格,['\n        '],凯萨里 Kesari,6.2,吉里什·科赫利,150分钟,"['历史', '战争']"
259,6.9%,24.8%,42.9%,18.1%,7.3%,K·J·阿帕,394,['\n        '],['2019-05-03(美国)'],威廉·宾德利,['\n        '],告别高中的夏天 The Last Summer,5.9,斯科特·宾德利,109分钟,['喜剧']
260,1.2%,6.6%,38.0%,42.2%,11.9%,姚晨,118146,['\n        '],"['2019-08-16(中国大陆)', '2019-06-17(上海电影节)']",滕丛丛,['\n        '],送我上青云,7.1,滕丛丛,99分钟,['剧情']
261,6.7%,26.9%,44.2%,15.9%,6.3%,尼古拉斯·凯奇,1280,['\n        '],['2019-08-02(美国)'],古桑,['\n        '],报仇雪恨 A Score To Settle,5.8,克里斯蒂安·斯韦加尔,103分钟,"['剧情', '动作', '惊悚']"
262,3.5%,18.2%,52.4%,18.8%,7.0%,娜奥米·沃茨,566,['\n        '],"['2018-01-22(圣丹斯电影节)', '2019-06-28(美国)']",克莱尔·麦卡锡,['\n        '],奥菲莉娅 Ophelia,6.2,塞米·切拉斯,114分钟,"['剧情', '爱情']"
263,3.2%,10.9%,51.8%,26.6%,7.4%,大泉洋,953,['\n        '],['2018-12-28(日本)'],前田哲,['\n        '],三更半夜居然要香蕉 爱的真实故事 こんな夜更けにバナナかよ 愛しき実話,6.5,桥本裕志,120分钟,['剧情']
264,10.0%,24.6%,45.8%,13.0%,6.6%,艾西瓦娅·雷,361,['\n        '],['2018-08-03(印度)'],阿图尔·马尼里卡尔,['\n        '],印度巨星 Fanney Khan,5.6,杜明历·狄鲁第,130分钟,"['剧情', '喜剧', '歌舞']"
265,2.1%,5.2%,31.7%,46.9%,14.1%,海伦娜·曾格尔,878,['\n        '],"['2019-02-08(柏林电影节)', '2019-09-19(德国)']",诺拉·芬沙伊德,['\n        '],系统破坏者 Systemsprenger,7.3,诺拉·芬沙伊德,118分钟,['剧情']
266,4.6%,18.7%,53.4%,19.2%,4.2%,瓦列留·安德留察,611,['\n        '],"['2018-05-09(戛纳电影节)', '2018-08-30(德国)', '2018-09-26(法国)']",谢尔盖·洛兹尼察,['\n        '],顿巴斯 Донбас,6.0,谢尔盖·洛兹尼察,121分钟,['剧情']
267,1.8%,4.2%,47.7%,36.7%,9.5%,希拉里·斯万克,354,['\n        '],"['2018-01-21(圣丹斯电影节)', '2018-10-12(美国)']",伊丽莎白·乔姆科,['\n        '],他们有什么 What They Had,7.0,伊丽莎白·乔姆科,101分钟,['剧情']
268,4.2%,21.9%,51.0%,14.7%,8.1%,金来沅,616,['\n        '],['2019-06-19(韩国)'],姜允成,['\n        '],吾王长存 롱 리브 더 킹: 목포 영웅,6.0,柳京善,118分钟,['剧情']
269,4.1%,24.7%,54.6%,11.7%,4.8%,鲁斯蒂·沙克尔福特,5722,['\n        '],"['2019-08-30(中国大陆)', '2019-02-13(荷兰)', '2019-04-10(法国)']",文森特·凯斯特鲁特,['\n        '],女王的柯基 The Queen's Corgi,5.8,罗布·斯普拉克林,85分钟,"['喜剧', '动画']"
270,2.1%,8.6%,49.9%,32.0%,7.4%,张建声,7598,['\n        '],['2019-06-20(中国香港)'],孙立基,['\n        '],作家的谎言：笔忠诱罪 作家的謊言：筆忠誘罪,6.7,沈锡然,90分钟,['悬疑']
271,2.1%,14.8%,53.1%,24.3%,5.6%,张家辉,138496,['\n        '],['2019-08-07(中国大陆)'],文伟鸿,['\n        '],使徒行者2：谍影行动,6.3,关皓月,98分钟,"['剧情', '动作', '犯罪']"
272,4.7%,25.6%,37.2%,24.4%,8.1%,马跃,662,['\n        '],"['2019-06-16(中国大陆)', '2017-09(金鸡百花电影节)']",甘小二,['\n        '],榫卯,6.1,甘小二,101分钟,"['剧情', '家庭']"
273,2.0%,14.1%,54.5%,24.1%,5.3%,道恩·强森,166387,['\n        '],"['2019-08-23(中国大陆)', '2019-08-02(美国)']",大卫·雷奇,['\n        '],速度与激情：特别行动 Fast & Furious Presents: Hobbs & Shaw,6.3,克里斯·摩根,137分钟,"['动作', '犯罪']"
274,3.5%,23.4%,47.2%,18.4%,7.4%,卡提克·亚利安,352,['\n        '],['2018-02-23(印度)'],卢夫·兰扬,['\n        '],德里三人行 Sonu Ke Titu Ki Sweety,6.1,拉胡尔·莫迪,138分钟,['爱情']
275,3.7%,15.9%,46.8%,26.7%,6.9%,细田佳央太,741,['\n        '],['2019-06-07(日本)'],石井裕也,['\n        '],町田君的世界 町田くんの世界,6.3,片冈翔,119分钟,['剧情']
